trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror,logerror(+1/8),logerror
16,user1616018584636,line,23,15,8,8.125,3.022367813,3.022367813
17,user1616018584636,pie,80,5,75,75.125,6.231221181,6.231221181
18,user1616018584636,lineAnim,98,99,1,1.125,0.1699250014,0.1699250014
19,user1616018584636,line,68,75,7,7.125,2.832890014,2.832890014
20,user1616018584636,pieAnim,91,99,8,8.125,3.022367813,3.022367813
21,user1616018584636,bar,80,85,5,5.125,2.357552005,2.357552005
22,user1616018584636,barAnim,82,80,2,2.125,1.087462841,1.087462841
23,user1616018584636,barAnim,100,0,100,100.125,6.645658432,6.645658432
24,user1616018584636,bar,93,95,2,2.125,1.087462841,1.087462841
1,user1616018681392,pieAnim,76,70,6,6.125,2.614709844,2.614709844
2,user1616018681392,pieAnim,26,30,4,4.125,2.044394119,2.044394119
3,user1616018681392,barAnim,84,92,8,8.125,3.022367813,3.022367813
4,user1616018681392,lineAnim,78,92,14,14.125,3.820178962,3.820178962
5,user1616018681392,line,15,11,4,4.125,2.044394119,2.044394119
6,user1616018681392,lineAnim,61,60,1,1.125,0.1699250014,0.1699250014
7,user1616018681392,bar,63,68,5,5.125,2.357552005,2.357552005
8,user1616018681392,pieAnim,12,12,0,0.125,-3,0
9,user1616018681392,pieAnim,60,50,10,10.125,3.339850003,3.339850003
10,user1616018681392,barAnim,54,58,4,4.125,2.044394119,2.044394119
11,user1616018681392,lineAnim,76,84,8,8.125,3.022367813,3.022367813
12,user1616018681392,pie,86,90,4,4.125,2.044394119,2.044394119
13,user1616018681392,bar,89,94,5,5.125,2.357552005,2.357552005
14,user1616018681392,pie,16,12,4,4.125,2.044394119,2.044394119
15,user1616018681392,pie,79,90,11,11.125,3.475733431,3.475733431
16,user1616018681392,line,49,50,1,1.125,0.1699250014,0.1699250014
17,user1616018681392,barAnim,75,80,5,5.125,2.357552005,2.357552005
18,user1616018681392,line,47,50,3,3.125,1.64385619,1.64385619
19,user1616018681392,lineAnim,11,90,79,79.125,6.306061689,6.306061689
20,user1616018681392,line,73,70,3,3.125,1.64385619,1.64385619
21,user1616018681392,barAnim,7,6,1,1.125,0.1699250014,0.1699250014
22,user1616018681392,bar,10,6,4,4.125,2.044394119,2.044394119
23,user1616018681392,bar,98,98,0,0.125,-3,0
24,user1616018681392,pie,42,44,2,2.125,1.087462841,1.087462841
1,user1616020953317,barAnim,6,10,4,4.125,2.044394119,2.044394119
2,user1616020953317,pie,69,80,11,11.125,3.475733431,3.475733431
3,user1616020953317,line,24,20,4,4.125,2.044394119,2.044394119
4,user1616020953317,lineAnim,58,50,8,8.125,3.022367813,3.022367813
5,user1616020953317,bar,63,75,12,12.125,3.599912842,3.599912842
6,user1616020953317,bar,14,15,1,1.125,0.1699250014,0.1699250014
7,user1616020953317,barAnim,16,15,1,1.125,0.1699250014,0.1699250014
8,user1616020953317,pieAnim,69,40,29,29.125,4.864186145,4.864186145
9,user1616020953317,lineAnim,76,75,1,1.125,0.1699250014,0.1699250014
10,user1616020953317,barAnim,25,30,5,5.125,2.357552005,2.357552005
11,user1616020953317,pie,34,33,1,1.125,0.1699250014,0.1699250014
12,user1616020953317,line,94,95,1,1.125,0.1699250014,0.1699250014
13,user1616020953317,bar,37,33,4,4.125,2.044394119,2.044394119
14,user1616020953317,barAnim,11,12,1,1.125,0.1699250014,0.1699250014
15,user1616020953317,pieAnim,91,80,11,11.125,3.475733431,3.475733431
16,user1616020953317,line,90,85,5,5.125,2.357552005,2.357552005
17,user1616020953317,lineAnim,60,65,5,5.125,2.357552005,2.357552005
18,user1616020953317,pie,80,90,10,10.125,3.339850003,3.339850003
19,user1616020953317,bar,11,12,1,1.125,0.1699250014,0.1699250014
