trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror,logerror(+1/8),logerror
15,user1616097035301,pie,21,27,6,6.125,2.614709844,2.614709844
16,user1616097035301,pieAnim,50,65,15,15.125,3.918863237,3.918863237
17,user1616097035301,lineAnim,75,80,5,5.125,2.357552005,2.357552005
18,user1616097035301,lineAnim,14,7,7,7.125,2.832890014,2.832890014
19,user1616097035301,pie,28,23,5,5.125,2.357552005,2.357552005
20,user1616097035301,barAnim,97,98,1,1.125,0.1699250014,0.1699250014
21,user1616097035301,bar,58,73,15,15.125,3.918863237,3.918863237
22,user1616097035301,pie,85,96,11,11.125,3.475733431,3.475733431
23,user1616097035301,pie,13,18,5,5.125,2.357552005,2.357552005
24,user1616097035301,pieAnim,23,19,4,4.125,2.044394119,2.044394119
1,user1616098486672,line,20,20,0,0.125,-3,0
2,user1616098486672,bar,52,55,3,3.125,1.64385619,1.64385619
3,user1616098486672,lineAnim,7,7,0,0.125,-3,0
4,user1616098486672,bar,41,40,1,1.125,0.1699250014,0.1699250014
5,user1616098486672,pieAnim,59,50,9,9.125,3.189824559,3.189824559
6,user1616098486672,pieAnim,46,45,1,1.125,0.1699250014,0.1699250014
7,user1616098486672,lineAnim,42,35,7,7.125,2.832890014,2.832890014
8,user1616098486672,pie,68,75,7,7.125,2.832890014,2.832890014
9,user1616098486672,bar,6,10,4,4.125,2.044394119,2.044394119
10,user1616098486672,line,80,85,5,5.125,2.357552005,2.357552005
11,user1616098486672,lineAnim,36,30,6,6.125,2.614709844,2.614709844
12,user1616098486672,barAnim,62,70,8,8.125,3.022367813,3.022367813
13,user1616098486672,line,91,95,4,4.125,2.044394119,2.044394119
14,user1616098486672,pie,34,40,6,6.125,2.614709844,2.614709844
15,user1616098486672,pie,52,50,2,2.125,1.087462841,1.087462841
16,user1616098486672,pieAnim,63,80,17,17.125,4.098032083,4.098032083
17,user1616098486672,barAnim,68,75,7,7.125,2.832890014,2.832890014
18,user1616098486672,barAnim,36,40,4,4.125,2.044394119,2.044394119
19,user1616098486672,bar,89,95,6,6.125,2.614709844,2.614709844
20,user1616098486672,barAnim,90,95,5,5.125,2.357552005,2.357552005
21,user1616098486672,pieAnim,75,90,15,15.125,3.918863237,3.918863237
22,user1616098486672,line,79,80,1,1.125,0.1699250014,0.1699250014
23,user1616098486672,lineAnim,23,20,3,3.125,1.64385619,1.64385619
24,user1616098486672,pie,40,30,10,10.125,3.339850003,3.339850003
1,user1616098952363,pieAnim,15,25,10,10.125,3.339850003,3.339850003
2,user1616098952363,bar,75,80,5,5.125,2.357552005,2.357552005
3,user1616098952363,barAnim,31,30,1,1.125,0.1699250014,0.1699250014
4,user1616098952363,line,79,85,6,6.125,2.614709844,2.614709844
5,user1616098952363,bar,42,50,8,8.125,3.022367813,3.022367813
6,user1616098952363,barAnim,21,20,1,1.125,0.1699250014,0.1699250014
7,user1616098952363,lineAnim,24,20,4,4.125,2.044394119,2.044394119
8,user1616098952363,pieAnim,17,10,7,7.125,2.832890014,2.832890014
9,user1616098952363,pie,60,25,35,35.125,5.13442632,5.13442632
10,user1616098952363,pieAnim,30,20,10,10.125,3.339850003,3.339850003
11,user1616098952363,line,59,66,7,7.125,2.832890014,2.832890014
12,user1616098952363,barAnim,74,70,4,4.125,2.044394119,2.044394119
13,user1616098952363,line,92,95,3,3.125,1.64385619,1.64385619
14,user1616098952363,bar,7,5,2,2.125,1.087462841,1.087462841
15,user1616098952363,pie,90,100,10,10.125,3.339850003,3.339850003
16,user1616098952363,line,95,97,2,2.125,1.087462841,1.087462841
17,user1616098952363,lineAnim,74,70,4,4.125,2.044394119,2.044394119
18,user1616098952363,lineAnim,34,33,1,1.125,0.1699250014,0.1699250014
19,user1616098952363,pieAnim,46,50,4,4.125,2.044394119,2.044394119
20,user1616098952363,lineAnim,7,5,2,2.125,1.087462841,1.087462841
21,user1616098952363,pie,40,33,7,7.125,2.832890014,2.832890014
22,user1616098952363,bar,41,40,1,1.125,0.1699250014,0.1699250014
23,user1616098952363,pie,12,10,2,2.125,1.087462841,1.087462841
24,user1616098952363,barAnim,25,20,5,5.125,2.357552005,2.357552005
1,user1616108555075,line,36,34,2,2.125,1.087462841,1.087462841
2,user1616108555075,line,90,94,4,4.125,2.044394119,2.044394119
3,user1616108555075,pie,64,45,19,19.125,4.257387843,4.257387843
4,user1616108555075,line,13,10,3,3.125,1.64385619,1.64385619
5,user1616108555075,lineAnim,50,80,30,30.125,4.912889336,4.912889336
6,user1616108555075,pieAnim,86,45,41,41.125,5.361943774,5.361943774
7,user1616108555075,pie,62,60,2,2.125,1.087462841,1.087462841
8,user1616108555075,barAnim,88,94,6,6.125,2.614709844,2.614709844
9,user1616108555075,barAnim,25,20,5,5.125,2.357552005,2.357552005
10,user1616108555075,bar,51,45,6,6.125,2.614709844,2.614709844
11,user1616108555075,lineAnim,10,7,3,3.125,1.64385619,1.64385619
12,user1616108555075,bar,9,7,2,2.125,1.087462841,1.087462841
13,user1616108555075,barAnim,80,80,0,0.125,-3,0
14,user1616108555075,pieAnim,59,50,9,9.125,3.189824559,3.189824559
15,user1616108555075,pieAnim,45,30,15,15.125,3.918863237,3.918863237
16,user1616108555075,bar,64,75,11,11.125,3.475733431,3.475733431
17,user1616108555075,lineAnim,98,97,1,1.125,0.1699250014,0.1699250014
18,user1616108555075,line,77,85,8,8.125,3.022367813,3.022367813
19,user1616108555075,pie,72,80,8,8.125,3.022367813,3.022367813
20,user1616108555075,lineAnim,17,12,5,5.125,2.357552005,2.357552005
21,user1616108555075,bar,70,80,10,10.125,3.339850003,3.339850003
22,user1616108555075,pieAnim,55,40,15,15.125,3.918863237,3.918863237
23,user1616108555075,pie,67,60,7,7.125,2.832890014,2.832890014
24,user1616108555075,barAnim,28,25,3,3.125,1.64385619,1.64385619
1,user1616169032359,barAnim,41,40,1,1.125,0.1699250014,0.1699250014
2,user1616169032359,lineAnim,80,75,5,5.125,2.357552005,2.357552005
3,user1616169032359,pie,44,50,6,6.125,2.614709844,2.614709844
4,user1616169032359,line,67,55,12,12.125,3.599912842,3.599912842
5,user1616169032359,lineAnim,54,45,9,9.125,3.189824559,3.189824559
6,user1616169032359,lineAnim,86,85,1,1.125,0.1699250014,0.1699250014
7,user1616169032359,pieAnim,8,12.5,4.5,4.625,2.209453366,2.209453366
8,user1616169032359,barAnim,44,45,1,1.125,0.1699250014,0.1699250014
9,user1616169032359,pie,80,75,5,5.125,2.357552005,2.357552005
10,user1616169032359,pieAnim,36,33,3,3.125,1.64385619,1.64385619
11,user1616169032359,pie,18,18.75,0.75,0.875,-0.1926450779,0
12,user1616169032359,line,7,9,2,2.125,1.087462841,1.087462841
13,user1616169032359,pie,46,50,4,4.125,2.044394119,2.044394119
14,user1616169032359,barAnim,28,33,5,5.125,2.357552005,2.357552005
15,user1616169032359,bar,26,40,14,14.125,3.820178962,3.820178962
16,user1616169032359,bar,33,40,7,7.125,2.832890014,2.832890014
17,user1616169032359,lineAnim,85,90,5,5.125,2.357552005,2.357552005
18,user1616169032359,line,63,95,32,32.125,5.005624549,5.005624549
19,user1616169032359,barAnim,88,90,2,2.125,1.087462841,1.087462841
20,user1616169032359,pieAnim,53,50,3,3.125,1.64385619,1.64385619
21,user1616169032359,bar,47,50,3,3.125,1.64385619,1.64385619
22,user1616169032359,line,36,35,1,1.125,0.1699250014,0.1699250014
23,user1616169032359,pieAnim,85,90,5,5.125,2.357552005,2.357552005
24,user1616169032359,bar,26,30,4,4.125,2.044394119,2.044394119
1,user1616169203397,line,6,25,19,19.125,4.257387843,4.257387843
2,user1616169203397,bar,92,10,82,82.125,6.35974956,6.35974956
3,user1616169203397,barAnim,59,50,9,9.125,3.189824559,3.189824559
4,user1616169203397,bar,30,20,10,10.125,3.339850003,3.339850003
5,user1616169203397,lineAnim,78,10,68,68.125,6.09011242,6.09011242
6,user1616169203397,bar,25,20,5,5.125,2.357552005,2.357552005
7,user1616169203397,bar,26,20,6,6.125,2.614709844,2.614709844
8,user1616169203397,barAnim,78,10,68,68.125,6.09011242,6.09011242
9,user1616169203397,pieAnim,38,50,12,12.125,3.599912842,3.599912842
10,user1616169203397,pie,83,10,73,73.125,6.192292814,6.192292814
11,user1616169203397,lineAnim,17,70,53,53.125,5.731319031,5.731319031
12,user1616169203397,lineAnim,54,10,44,44.125,5.463524373,5.463524373
13,user1616169203397,line,75,10,65,65.125,6.025139562,6.025139562
14,user1616169203397,barAnim,86,10,76,76.125,6.250298418,6.250298418
15,user1616169203397,pie,52,25,27,27.125,4.761551232,4.761551232
16,user1616169203397,line,81,20,61,61.125,5.933690655,5.933690655
17,user1616169203397,pieAnim,80,10,70,70.125,6.131856961,6.131856961
18,user1616169203397,pieAnim,71,90,19,19.125,4.257387843,4.257387843
19,user1616169203397,lineAnim,91,80,11,11.125,3.475733431,3.475733431
20,user1616169203397,barAnim,64,60,4,4.125,2.044394119,2.044394119
21,user1616169203397,pie,65,70,5,5.125,2.357552005,2.357552005
22,user1616169203397,pie,62,50,12,12.125,3.599912842,3.599912842
23,user1616169203397,pieAnim,66,50,16,16.125,4.011227255,4.011227255
24,user1616169203397,line,36,45,9,9.125,3.189824559,3.189824559
1,user1616169200343,lineAnim,36,30,6,6.125,2.614709844,2.614709844
2,user1616169200343,pie,62,50,12,12.125,3.599912842,3.599912842
3,user1616169200343,line,45,30,15,15.125,3.918863237,3.918863237
4,user1616169200343,lineAnim,33,20,13,13.125,3.714245518,3.714245518
5,user1616169200343,bar,15,10,5,5.125,2.357552005,2.357552005
6,user1616169200343,barAnim,56,50,6,6.125,2.614709844,2.614709844
7,user1616169200343,bar,20,20,0,0.125,-3,0
8,user1616169200343,pieAnim,73,50,23,23.125,4.531381461,4.531381461
9,user1616169200343,lineAnim,85,60,25,25.125,4.651051691,4.651051691
10,user1616169200343,pieAnim,74,40,34,34.125,5.092757141,5.092757141
11,user1616169200343,barAnim,6,5,1,1.125,0.1699250014,0.1699250014
12,user1616169200343,pieAnim,57,20,37,37.125,5.214319121,5.214319121
13,user1616169200343,bar,60,60,0,0.125,-3,0
14,user1616169200343,pie,97,100,3,3.125,1.64385619,1.64385619
15,user1616169200343,line,39,40,1,1.125,0.1699250014,0.1699250014
16,user1616169200343,line,32,15,17,17.125,4.098032083,4.098032083
17,user1616169200343,pie,90,80,10,10.125,3.339850003,3.339850003
18,user1616169200343,barAnim,69,70,1,1.125,0.1699250014,0.1699250014
19,user1616169200343,bar,63,95,32,32.125,5.005624549,5.005624549
20,user1616169200343,barAnim,27,70,43,43.125,5.430452552,5.430452552
21,user1616169200343,pie,89,100,11,11.125,3.475733431,3.475733431
22,user1616169200343,line,27,20,7,7.125,2.832890014,2.832890014
23,user1616169200343,pieAnim,73,70,3,3.125,1.64385619,1.64385619
24,user1616169200343,lineAnim,71,80,9,9.125,3.189824559,3.189824559
1,user1616169581711,line,11,20,9,9.125,3.189824559,3.189824559
2,user1616169581711,bar,19,37,18,18.125,4.17990909,4.17990909
3,user1616169581711,bar,95,90,5,5.125,2.357552005,2.357552005
4,user1616169581711,line,20,14,6,6.125,2.614709844,2.614709844
5,user1616169581711,line,12,14,2,2.125,1.087462841,1.087462841
6,user1616169581711,pie,58,60,2,2.125,1.087462841,1.087462841
7,user1616169581711,line,43,57,14,14.125,3.820178962,3.820178962
8,user1616169581711,pieAnim,20,30,10,10.125,3.339850003,3.339850003
9,user1616169581711,lineAnim,74,81,7,7.125,2.832890014,2.832890014
10,user1616169581711,pieAnim,96,100,4,4.125,2.044394119,2.044394119
11,user1616169581711,lineAnim,41,30,11,11.125,3.475733431,3.475733431
12,user1616169581711,bar,64,66,2,2.125,1.087462841,1.087462841
13,user1616169581711,lineAnim,42,44,2,2.125,1.087462841,1.087462841
14,user1616169581711,pieAnim,50,60,10,10.125,3.339850003,3.339850003
15,user1616169581711,lineAnim,27,25,2,2.125,1.087462841,1.087462841
16,user1616169581711,bar,46,40,6,6.125,2.614709844,2.614709844
17,user1616169581711,pieAnim,53,30,23,23.125,4.531381461,4.531381461
18,user1616169581711,barAnim,65,70,5,5.125,2.357552005,2.357552005
19,user1616169581711,pie,60,55,5,5.125,2.357552005,2.357552005
20,user1616169581711,barAnim,88,90,2,2.125,1.087462841,1.087462841
21,user1616169581711,pie,39,30,9,9.125,3.189824559,3.189824559
22,user1616169581711,pie,55,50,5,5.125,2.357552005,2.357552005
23,user1616169581711,barAnim,97,99,2,2.125,1.087462841,1.087462841
24,user1616169581711,barAnim,68,70,2,2.125,1.087462841,1.087462841
1,user1616169803384,bar,23,25,2,2.125,1.087462841,1.087462841
2,user1616169803384,lineAnim,33,50,17,17.125,4.098032083,4.098032083
3,user1616169803384,lineAnim,14,12,2,2.125,1.087462841,1.087462841
4,user1616169803384,pie,88,0,88,88.125,6.461479447,6.461479447
5,user1616169803384,barAnim,53,55,2,2.125,1.087462841,1.087462841
6,user1616169803384,lineAnim,45,30,15,15.125,3.918863237,3.918863237
7,user1616169803384,barAnim,41,30,11,11.125,3.475733431,3.475733431
8,user1616169803384,bar,52,50,2,2.125,1.087462841,1.087462841
9,user1616169803384,pieAnim,9,12,3,3.125,1.64385619,1.64385619
10,user1616169803384,pie,82,88,6,6.125,2.614709844,2.614709844
11,user1616169803384,line,86,95,9,9.125,3.189824559,3.189824559
12,user1616169803384,bar,40,35,5,5.125,2.357552005,2.357552005
13,user1616169803384,bar,37,15,22,22.125,4.46760555,4.46760555
14,user1616169803384,pieAnim,30,25,5,5.125,2.357552005,2.357552005
15,user1616169803384,barAnim,74,80,6,6.125,2.614709844,2.614709844
16,user1616169803384,pieAnim,84,90,6,6.125,2.614709844,2.614709844
17,user1616169803384,line,53,60,7,7.125,2.832890014,2.832890014
18,user1616169803384,lineAnim,75,70,5,5.125,2.357552005,2.357552005
19,user1616169803384,line,30,25,5,5.125,2.357552005,2.357552005
20,user1616169803384,barAnim,88,90,2,2.125,1.087462841,1.087462841
21,user1616169803384,pieAnim,79,88,9,9.125,3.189824559,3.189824559
22,user1616169803384,pie,76,75,1,1.125,0.1699250014,0.1699250014
23,user1616169803384,pie,19,12,7,7.125,2.832890014,2.832890014
24,user1616169803384,line,92,95,3,3.125,1.64385619,1.64385619
1,user1616171055505,bar,96,95,1,1.125,0.1699250014,0.1699250014
2,user1616171055505,pie,45,33,12,12.125,3.599912842,3.599912842
3,user1616171055505,line,60,60,0,0.125,-3,0
4,user1616171055505,lineAnim,6,10,4,4.125,2.044394119,2.044394119
5,user1616171055505,bar,11,15,4,4.125,2.044394119,2.044394119
6,user1616171055505,lineAnim,66,65,1,1.125,0.1699250014,0.1699250014
7,user1616171055505,bar,30,35,5,5.125,2.357552005,2.357552005
8,user1616171055505,barAnim,16,15,1,1.125,0.1699250014,0.1699250014
9,user1616171055505,barAnim,78,80,2,2.125,1.087462841,1.087462841
10,user1616171055505,barAnim,73,75,2,2.125,1.087462841,1.087462841
11,user1616171055505,pie,44,33,11,11.125,3.475733431,3.475733431
12,user1616171055505,pie,88,100,12,12.125,3.599912842,3.599912842
13,user1616171055505,pieAnim,62,66,4,4.125,2.044394119,2.044394119
14,user1616171055505,pie,78,75,3,3.125,1.64385619,1.64385619
15,user1616171055505,lineAnim,66,65,1,1.125,0.1699250014,0.1699250014
16,user1616171055505,pieAnim,27,20,7,7.125,2.832890014,2.832890014
17,user1616171055505,pieAnim,92,100,8,8.125,3.022367813,3.022367813
18,user1616171055505,barAnim,62,60,2,2.125,1.087462841,1.087462841
19,user1616171055505,pieAnim,74,80,6,6.125,2.614709844,2.614709844
20,user1616171055505,bar,48,50,2,2.125,1.087462841,1.087462841
21,user1616171055505,line,68,70,2,2.125,1.087462841,1.087462841
22,user1616171055505,line,75,80,5,5.125,2.357552005,2.357552005
23,user1616171055505,lineAnim,36,40,4,4.125,2.044394119,2.044394119
24,user1616171055505,line,71,75,4,4.125,2.044394119,2.044394119
1,user1616171484029,bar,88,90,2,2.125,1.087462841,1.087462841
2,user1616171484029,lineAnim,96,95,1,1.125,0.1699250014,0.1699250014
3,user1616171484029,pie,17,16,1,1.125,0.1699250014,0.1699250014
4,user1616171484029,pie,60,55,5,5.125,2.357552005,2.357552005
5,user1616171484029,pieAnim,23,25,2,2.125,1.087462841,1.087462841
6,user1616171484029,pieAnim,57,60,3,3.125,1.64385619,1.64385619
7,user1616171484029,barAnim,5,5,0,0.125,-3,0
8,user1616171484029,pieAnim,26,25,1,1.125,0.1699250014,0.1699250014
9,user1616171484029,pie,78,80,2,2.125,1.087462841,1.087462841
10,user1616171484029,lineAnim,16,15,1,1.125,0.1699250014,0.1699250014
11,user1616171484029,barAnim,62,65,3,3.125,1.64385619,1.64385619
12,user1616171484029,pie,76,80,4,4.125,2.044394119,2.044394119
13,user1616171484029,bar,81,85,4,4.125,2.044394119,2.044394119
14,user1616171484029,lineAnim,14,15,1,1.125,0.1699250014,0.1699250014
15,user1616171484029,line,27,28,1,1.125,0.1699250014,0.1699250014
16,user1616171484029,lineAnim,88,85,3,3.125,1.64385619,1.64385619
17,user1616171484029,barAnim,32,32,0,0.125,-3,0
18,user1616171484029,bar,87,90,3,3.125,1.64385619,1.64385619
19,user1616171484029,line,16,13,3,3.125,1.64385619,1.64385619
20,user1616171484029,line,44,40,4,4.125,2.044394119,2.044394119
21,user1616171484029,pieAnim,7,5,2,2.125,1.087462841,1.087462841
22,user1616171484029,bar,9,10,1,1.125,0.1699250014,0.1699250014
23,user1616171484029,barAnim,70,65,5,5.125,2.357552005,2.357552005
24,user1616171484029,line,85,90,5,5.125,2.357552005,2.357552005
1,user1616171638795,lineAnim,9,10,1,1.125,0.1699250014,0.1699250014
2,user1616171638795,pie,37,40,3,3.125,1.64385619,1.64385619
3,user1616171638795,line,53,70,17,17.125,4.098032083,4.098032083
4,user1616171638795,lineAnim,42,45,3,3.125,1.64385619,1.64385619
5,user1616171638795,lineAnim,48,50,2,2.125,1.087462841,1.087462841
6,user1616171638795,barAnim,84,90,6,6.125,2.614709844,2.614709844
7,user1616171638795,pie,40,30,10,10.125,3.339850003,3.339850003
8,user1616171638795,bar,68,75,7,7.125,2.832890014,2.832890014
9,user1616171638795,bar,49,50,1,1.125,0.1699250014,0.1699250014
10,user1616171638795,line,10,8,2,2.125,1.087462841,1.087462841
11,user1616171638795,line,40,50,10,10.125,3.339850003,3.339850003
12,user1616171638795,barAnim,30,35,5,5.125,2.357552005,2.357552005
13,user1616171638795,barAnim,8,10,2,2.125,1.087462841,1.087462841
14,user1616171638795,line,12,10,2,2.125,1.087462841,1.087462841
15,user1616171638795,pieAnim,55,65,10,10.125,3.339850003,3.339850003
16,user1616171638795,pieAnim,42,30,12,12.125,3.599912842,3.599912842
17,user1616171638795,pieAnim,5,5,0,0.125,-3,0
18,user1616171638795,bar,54,60,6,6.125,2.614709844,2.614709844
19,user1616171638795,barAnim,66,70,4,4.125,2.044394119,2.044394119
20,user1616171638795,bar,31,30,1,1.125,0.1699250014,0.1699250014
21,user1616171638795,pie,26,10,16,16.125,4.011227255,4.011227255
22,user1616171638795,pie,25,20,5,5.125,2.357552005,2.357552005
23,user1616171638795,lineAnim,56,65,9,9.125,3.189824559,3.189824559
24,user1616171638795,pieAnim,15,10,5,5.125,2.357552005,2.357552005
1,user1616173020218,pieAnim,93,95,2,2.125,1.087462841,1.087462841
2,user1616173020218,pie,38,33,5,5.125,2.357552005,2.357552005
3,user1616173020218,bar,21,18,3,3.125,1.64385619,1.64385619
4,user1616173020218,barAnim,26,27,1,1.125,0.1699250014,0.1699250014
5,user1616173020218,lineAnim,56,55,1,1.125,0.1699250014,0.1699250014
6,user1616173020218,barAnim,28,28,0,0.125,-3,0
7,user1616173020218,pieAnim,33,40,7,7.125,2.832890014,2.832890014
8,user1616173020218,pie,44,45,1,1.125,0.1699250014,0.1699250014
9,user1616173020218,bar,19,20,1,1.125,0.1699250014,0.1699250014
10,user1616173020218,line,38,43,5,5.125,2.357552005,2.357552005
11,user1616173020218,bar,86,87,1,1.125,0.1699250014,0.1699250014
12,user1616173020218,pie,76,95,19,19.125,4.257387843,4.257387843
13,user1616173020218,lineAnim,97,96,1,1.125,0.1699250014,0.1699250014
14,user1616173020218,barAnim,86,88,2,2.125,1.087462841,1.087462841
15,user1616173020218,pieAnim,66,72,6,6.125,2.614709844,2.614709844
16,user1616173020218,bar,54,56,2,2.125,1.087462841,1.087462841
17,user1616173020218,line,28,27,1,1.125,0.1699250014,0.1699250014
18,user1616173020218,pie,96,97,1,1.125,0.1699250014,0.1699250014
19,user1616173020218,lineAnim,47,48,1,1.125,0.1699250014,0.1699250014
20,user1616173020218,barAnim,91,92,1,1.125,0.1699250014,0.1699250014
21,user1616173020218,line,74,76,2,2.125,1.087462841,1.087462841
22,user1616173020218,lineAnim,72,70,2,2.125,1.087462841,1.087462841
23,user1616173020218,pieAnim,53,50,3,3.125,1.64385619,1.64385619
24,user1616173020218,line,76,78,2,2.125,1.087462841,1.087462841
1,user1616173095007,pie,43,40,3,3.125,1.64385619,1.64385619
2,user1616173095007,line,58,60,2,2.125,1.087462841,1.087462841
3,user1616173095007,bar,68,75,7,7.125,2.832890014,2.832890014
4,user1616173095007,pie,95,90,5,5.125,2.357552005,2.357552005
5,user1616173095007,pieAnim,47,30,17,17.125,4.098032083,4.098032083
6,user1616173095007,line,69,66,3,3.125,1.64385619,1.64385619
7,user1616173095007,line,20,16,4,4.125,2.044394119,2.044394119
8,user1616173095007,barAnim,45,50,5,5.125,2.357552005,2.357552005
9,user1616173095007,lineAnim,95,99,4,4.125,2.044394119,2.044394119
10,user1616173095007,pieAnim,31,33,2,2.125,1.087462841,1.087462841
11,user1616173095007,pieAnim,40,30,10,10.125,3.339850003,3.339850003
12,user1616173095007,bar,70,75,5,5.125,2.357552005,2.357552005
13,user1616173095007,lineAnim,28,30,2,2.125,1.087462841,1.087462841
14,user1616173095007,barAnim,76,80,4,4.125,2.044394119,2.044394119
15,user1616173095007,bar,13,15,2,2.125,1.087462841,1.087462841
16,user1616173095007,lineAnim,90,95,5,5.125,2.357552005,2.357552005
17,user1616173095007,pie,18,15,3,3.125,1.64385619,1.64385619
18,user1616173095007,pie,93,90,3,3.125,1.64385619,1.64385619
19,user1616173095007,pieAnim,92,100,8,8.125,3.022367813,3.022367813
20,user1616173095007,barAnim,47,50,3,3.125,1.64385619,1.64385619
21,user1616173095007,line,5,5,0,0.125,-3,0
22,user1616173095007,lineAnim,78,85,7,7.125,2.832890014,2.832890014
23,user1616173095007,bar,72,75,3,3.125,1.64385619,1.64385619
24,user1616173095007,barAnim,38,30,8,8.125,3.022367813,3.022367813
1,user1616174032126,line,77,60,17,17.125,4.098032083,4.098032083
2,user1616174032126,line,53,60,7,7.125,2.832890014,2.832890014
3,user1616174032126,pie,45,25,20,20.125,4.330916878,4.330916878
4,user1616174032126,lineAnim,97,45,52,52.125,5.703903573,5.703903573
5,user1616174032126,line,54,30,24,24.125,4.592457037,4.592457037
6,user1616174032126,pie,83,15,68,68.125,6.09011242,6.09011242
7,user1616174032126,pieAnim,70,10,60,60.125,5.909893084,5.909893084
8,user1616174032126,barAnim,66,20,46,46.125,5.527477006,5.527477006
9,user1616174032126,bar,18,50,32,32.125,5.005624549,5.005624549
10,user1616174032126,pie,10,20,10,10.125,3.339850003,3.339850003
11,user1616174032126,barAnim,92,80,12,12.125,3.599912842,3.599912842
12,user1616174032126,pieAnim,8,15,7,7.125,2.832890014,2.832890014
13,user1616174032126,pieAnim,82,10,72,72.125,6.172427509,6.172427509
14,user1616174032126,pieAnim,40,5,35,35.125,5.13442632,5.13442632
15,user1616174032126,lineAnim,16,5,11,11.125,3.475733431,3.475733431
16,user1616174032126,line,44,10,34,34.125,5.092757141,5.092757141
17,user1616174032126,bar,93,90,3,3.125,1.64385619,1.64385619
18,user1616174032126,bar,22,10,12,12.125,3.599912842,3.599912842
19,user1616174032126,lineAnim,53,50,3,3.125,1.64385619,1.64385619
20,user1616174032126,bar,60,45,15,15.125,3.918863237,3.918863237
21,user1616174032126,lineAnim,68,60,8,8.125,3.022367813,3.022367813
22,user1616174032126,barAnim,5,5,0,0.125,-3,0
23,user1616174032126,barAnim,44,5,39,39.125,5.290018847,5.290018847
24,user1616174032126,pie,47,3,44,44.125,5.463524373,5.463524373
1,user1616175660638,bar,43,45,2,2.125,1.087462841,1.087462841
2,user1616175660638,barAnim,37,33,4,4.125,2.044394119,2.044394119
3,user1616175660638,pie,96,95,1,1.125,0.1699250014,0.1699250014
4,user1616175660638,pieAnim,89,95,6,6.125,2.614709844,2.614709844
5,user1616175660638,bar,85,90,5,5.125,2.357552005,2.357552005
6,user1616175660638,barAnim,37,33,4,4.125,2.044394119,2.044394119
7,user1616175660638,lineAnim,96,97,1,1.125,0.1699250014,0.1699250014
8,user1616175660638,pie,61,50,11,11.125,3.475733431,3.475733431
9,user1616175660638,lineAnim,37,30,7,7.125,2.832890014,2.832890014
10,user1616175660638,pieAnim,34,25,9,9.125,3.189824559,3.189824559
11,user1616175660638,line,37,33,4,4.125,2.044394119,2.044394119
12,user1616175660638,line,55,50,5,5.125,2.357552005,2.357552005
13,user1616175660638,pieAnim,88,85,3,3.125,1.64385619,1.64385619
14,user1616175660638,bar,7,5,2,2.125,1.087462841,1.087462841
15,user1616175660638,pie,48,33,15,15.125,3.918863237,3.918863237
16,user1616175660638,line,90,95,5,5.125,2.357552005,2.357552005
17,user1616175660638,pie,97,100,3,3.125,1.64385619,1.64385619
18,user1616175660638,lineAnim,78,80,2,2.125,1.087462841,1.087462841
19,user1616175660638,line,75,80,5,5.125,2.357552005,2.357552005
20,user1616175660638,lineAnim,36,33,3,3.125,1.64385619,1.64385619
21,user1616175660638,pieAnim,15,15,0,0.125,-3,0
22,user1616175660638,barAnim,22,25,3,3.125,1.64385619,1.64385619
23,user1616175660638,barAnim,5,5,0,0.125,-3,0
24,user1616175660638,bar,9,5,4,4.125,2.044394119,2.044394119
1,user1616179906757,pieAnim,52,60,8,8.125,3.022367813,3.022367813
2,user1616179906757,pieAnim,98,95,3,3.125,1.64385619,1.64385619
3,user1616179906757,barAnim,85,80,5,5.125,2.357552005,2.357552005
4,user1616179906757,line,55,60,5,5.125,2.357552005,2.357552005
5,user1616179906757,pie,48,40,8,8.125,3.022367813,3.022367813
6,user1616179906757,pie,48,30,18,18.125,4.17990909,4.17990909
7,user1616179906757,bar,58,40,18,18.125,4.17990909,4.17990909
8,user1616179906757,barAnim,56,55,1,1.125,0.1699250014,0.1699250014
9,user1616179906757,bar,72,75,3,3.125,1.64385619,1.64385619
10,user1616179906757,barAnim,35,30,5,5.125,2.357552005,2.357552005
11,user1616179906757,line,34,30,4,4.125,2.044394119,2.044394119
12,user1616179906757,lineAnim,21,20,1,1.125,0.1699250014,0.1699250014
13,user1616179906757,barAnim,62,60,2,2.125,1.087462841,1.087462841
14,user1616179906757,bar,61,60,1,1.125,0.1699250014,0.1699250014
15,user1616179906757,bar,27,30,3,3.125,1.64385619,1.64385619
16,user1616179906757,pieAnim,94,90,4,4.125,2.044394119,2.044394119
17,user1616179906757,line,81,80,1,1.125,0.1699250014,0.1699250014
18,user1616179906757,lineAnim,8,20,12,12.125,3.599912842,3.599912842
19,user1616179906757,lineAnim,37,40,3,3.125,1.64385619,1.64385619
20,user1616179906757,lineAnim,53,50,3,3.125,1.64385619,1.64385619
21,user1616179906757,pie,79,90,11,11.125,3.475733431,3.475733431
22,user1616179906757,pie,36,40,4,4.125,2.044394119,2.044394119
23,user1616179906757,pieAnim,12,15,3,3.125,1.64385619,1.64385619
24,user1616179906757,line,66,85,19,19.125,4.257387843,4.257387843
1,user1616185358848,pieAnim,86,90,4,4.125,2.044394119,2.044394119
2,user1616185358848,line,86,95,9,9.125,3.189824559,3.189824559
