username,chart,actualresponse,userresponse
user1616076694613,line,75,30
user1616076694613,barAnim,37,40
user1616076694613,line,75,75
user1616076694613,line,40,30
user1616076694613,pie,36,25
user1616076694613,pieAnim,26,10
user1616076694613,lineAnim,19,10
user1616076694613,lineAnim,29,30
user1616076694613,lineAnim,5,5
user1616076694613,barAnim,22,15
user1616076694613,bar,18,20
user1616076694613,bar,76,75
user1616076694613,bar,57,60
user1616076694613,pieAnim,92,25
user1616076694613,line,42,45
user1616076694613,pieAnim,82,20
user1616076694613,bar,21,25
user1616076694613,barAnim,47,50
user1616076694613,lineAnim,50,50
user1616076694613,barAnim,85,80
user1616076694613,pie,75,25
user1616076694613,pieAnim,95,30
user1616080404053,lineAnim,81,15
user1616080404053,line,64,25
user1616080404053,line,76,15
user1616080404053,pie,77,15
user1616080404053,lineAnim,93,4
user1616080404053,line,24,45
user1616080404053,bar,22,66
user1616080404053,pie,54,40
user1616080404053,barAnim,18,80
user1616080404053,bar,55,25
user1616080404053,pieAnim,26,50
user1616080404053,lineAnim,85,5
user1616080404053,pieAnim,24,60
user1616080404053,barAnim,22,60
user1616080404053,barAnim,18,100
user1616080404053,lineAnim,48,50
user1616080404053,barAnim,96,3
user1616080404053,pieAnim,83,5
user1616080404053,line,85,15
user1616080404053,bar,67,30
user1616080404053,pie,78,15
user1616080404053,bar,14,70
user1616080404053,pie,80,5
user1616080404053,pieAnim,41,50
user1616085312200,bar,46,50
user1616085312200,lineAnim,20,12
user1616085312200,line,75,70
user1616085312200,lineAnim,41,40
user1616085312200,pie,19,20
user1616085312200,pieAnim,69,70
user1616085312200,bar,40,40
user1616085312200,line,60,70
user1616085312200,pieAnim,43,40
user1616085312200,pie,59,70
user1616085312200,pie,5,10
user1616085312200,lineAnim,24,25
user1616085312200,line,91,98
user1616085312200,barAnim,62,60
user1616085312200,pieAnim,13,15
user1616085312200,barAnim,70,70
user1616085312200,barAnim,78,80
user1616085312200,barAnim,90,90
user1616085312200,pie,100,100
user1616085312200,lineAnim,93,98
user1616085312200,pieAnim,57,50
user1616085312200,bar,93,99
user1616085312200,bar,30,30
user1616085312200,line,35,40
user1616086256978,barAnim,61,67
user1616086256978,line,78,80
user1616086256978,line,25,25
user1616086256978,pieAnim,52,50
user1616086256978,pie,66,85
user1616086256978,bar,56,60
user1616086256978,pie,95,100
user1616086256978,lineAnim,56,65
user1616086256978,bar,24,25
user1616086256978,pie,75,75
user1616086256978,pieAnim,33,30
user1616086256978,pieAnim,32,25
user1616086256978,bar,48,50
user1616086256978,bar,88,90
user1616086256978,barAnim,16,20
user1616086256978,line,36,33
user1616086256978,pie,80,80
user1616086256978,lineAnim,39,40
user1616086256978,pieAnim,100,100
user1616086256978,lineAnim,82,81
user1616086256978,barAnim,43,40
user1616086256978,lineAnim,81,82
user1616086256978,line,85,82
user1616086256978,barAnim,22,22
user1616090223946,line,76,25
user1616090223946,line,18,6
user1616090223946,pie,15,20
user1616090223946,barAnim,13,10
user1616090223946,pieAnim,66,80
user1616090223946,pieAnim,91,90
user1616090223946,bar,63,66
user1616090223946,pieAnim,8,12
user1616090223946,lineAnim,20,20
user1616090223946,lineAnim,30,33
user1616090223946,bar,67,60
user1616090223946,barAnim,75,75
user1616090223946,bar,82,80
user1616090223946,barAnim,58,66
user1616090223946,bar,80,85
user1616090223946,pie,24,20
user1616090223946,barAnim,48,50
user1616090223946,pie,85,80
user1616090223946,pie,19,20
user1616090223946,line,48,40
user1616090223946,line,65,80
user1616090223946,lineAnim,66,60
user1616090223946,lineAnim,37,33
user1616090223946,pieAnim,24,17
user1616090648175,barAnim,64,65
user1616090648175,bar,51,50
user1616090648175,pie,50,50
user1616090648175,bar,96,97
user1616090648175,barAnim,30,25
user1616090648175,bar,79,80
user1616090648175,line,62,70
user1616090648175,pieAnim,80,90
user1616090648175,bar,12,8
user1616090648175,barAnim,38,35
user1616090648175,lineAnim,82,90
user1616090648175,lineAnim,90,85
user1616090648175,barAnim,76,90
user1616090648175,pie,69,65
user1616090648175,pieAnim,33,25
user1616090648175,line,31,15
user1616090648175,pieAnim,63,45
user1616090648175,line,51,35
user1616090648175,lineAnim,56,55
user1616090648175,pie,39,30
user1616090648175,pieAnim,65,60
user1616090648175,lineAnim,62,60
user1616090648175,line,75,93
user1616090648175,pie,79,80
user1616091192811,bar,88,92
user1616091192811,pieAnim,30,25
user1616091192811,pie,92,96
user1616091192811,pie,45,45
user1616091192811,line,52,35
user1616091192811,line,16,7
user1616091192811,pie,51,50
user1616091192811,lineAnim,90,1
user1616091192811,lineAnim,59,40
user1616091192811,line,61,35
user1616091192811,lineAnim,87,54
user1616091192811,barAnim,70,40
user1616091192811,pie,76,45
user1616091192811,lineAnim,15,10
user1616091192811,line,30,20
user1616091192811,bar,47,12
user1616091192811,pieAnim,97,1
user1616091192811,barAnim,40,20
user1616091192811,barAnim,27,14
user1616091192811,pieAnim,81,1
user1616091192811,bar,72,17
user1616091192811,barAnim,65,20
user1616091192811,pieAnim,71,97
user1616091192811,bar,20,21
user1616096193330,pieAnim,8,10
user1616096193330,lineAnim,37,45
user1616096193330,line,54,50
user1616096193330,bar,38,45
user1616096193330,pieAnim,80,90
user1616096193330,barAnim,83,85
user1616096193330,barAnim,35,40
user1616096193330,line,18,10
user1616096193330,pie,52,50
user1616096193330,pie,55,40
user1616096193330,pie,9,10
user1616096193330,pie,92,95
user1616096193330,barAnim,10,10
user1616096193330,line,90,10
user1616096193330,lineAnim,95,90
user1616096193330,pieAnim,90,95
user1616096193330,lineAnim,40,60
user1616096193330,pieAnim,59,50
user1616096193330,lineAnim,32,30
user1616096193330,line,87,80
user1616096193330,bar,90,90
user1616096193330,barAnim,39,40
user1616096193330,bar,83,80
user1616096193330,bar,82,85
user1616097035301,pieAnim,63,50
user1616097035301,bar,75,75
user1616097035301,line,34,40
user1616097035301,barAnim,41,45
user1616097035301,line,40,30
user1616097035301,pieAnim,56,50
user1616097035301,bar,39,35
user1616097035301,lineAnim,94,97
user1616097035301,barAnim,88,90
user1616097035301,bar,33,38
user1616097035301,line,92,90
user1616097035301,barAnim,96,97
user1616097035301,line,20,25
user1616097035301,lineAnim,84,85
user1616097035301,pie,21,27
user1616097035301,pieAnim,50,65
user1616097035301,lineAnim,75,80
user1616097035301,lineAnim,14,7
user1616097035301,pie,28,23
user1616097035301,barAnim,97,98
user1616097035301,bar,58,73
user1616097035301,pie,85,96
user1616097035301,pie,13,18
user1616097035301,pieAnim,23,19
user1616098486672,line,20,20
user1616098486672,bar,52,55
user1616098486672,lineAnim,7,7
user1616098486672,bar,41,40
user1616098486672,pieAnim,59,50
user1616098486672,pieAnim,46,45
user1616098486672,lineAnim,42,35
user1616098486672,pie,68,75
user1616098486672,bar,6,10
user1616098486672,line,80,85
user1616098486672,lineAnim,36,30
user1616098486672,barAnim,62,70
user1616098486672,line,91,95
user1616098486672,pie,34,40
user1616098486672,pie,52,50
user1616098486672,pieAnim,63,80
user1616098486672,barAnim,68,75
user1616098486672,barAnim,36,40
user1616098486672,bar,89,95
user1616098486672,barAnim,90,95
user1616098486672,pieAnim,75,90
user1616098486672,line,79,80
user1616098486672,lineAnim,23,20
user1616098486672,pie,40,30
user1616098952363,pieAnim,15,25
user1616098952363,bar,75,80
user1616098952363,barAnim,31,30
user1616098952363,line,79,85
user1616098952363,bar,42,50
user1616098952363,barAnim,21,20
user1616098952363,lineAnim,24,20
user1616098952363,pieAnim,17,10
user1616098952363,pie,60,25
user1616098952363,pieAnim,30,20
user1616098952363,line,59,66
user1616098952363,barAnim,74,70
user1616098952363,line,92,95
user1616098952363,bar,7,5
user1616098952363,pie,90,100
user1616098952363,line,95,97
user1616098952363,lineAnim,74,70
user1616098952363,lineAnim,34,33
user1616098952363,pieAnim,46,50
user1616098952363,lineAnim,7,5
user1616098952363,pie,40,33
user1616098952363,bar,41,40
user1616098952363,pie,12,10
user1616098952363,barAnim,25,20
user1616108555075,line,36,34
user1616108555075,line,90,94
user1616108555075,pie,64,45
user1616108555075,line,13,10
user1616108555075,lineAnim,50,80
user1616108555075,pieAnim,86,45
user1616108555075,pie,62,60
user1616108555075,barAnim,88,94
user1616108555075,barAnim,25,20
user1616108555075,bar,51,45
user1616108555075,lineAnim,10,7
user1616108555075,bar,9,7
user1616108555075,barAnim,80,80
user1616108555075,pieAnim,59,50
user1616108555075,pieAnim,45,30
user1616108555075,bar,64,75
user1616108555075,lineAnim,98,97
user1616108555075,line,77,85
user1616108555075,pie,72,80
user1616108555075,lineAnim,17,12
user1616108555075,bar,70,80
user1616108555075,pieAnim,55,40
user1616108555075,pie,67,60
user1616108555075,barAnim,28,25
user1616169032359,barAnim,41,40
user1616169032359,lineAnim,80,75
user1616169032359,pie,44,50
user1616169032359,line,67,55
user1616169032359,lineAnim,54,45
user1616169032359,lineAnim,86,85
user1616169032359,pieAnim,8,12.5
user1616169032359,barAnim,44,45
user1616169032359,pie,80,75
user1616169032359,pieAnim,36,33
user1616169032359,pie,18,18.75
user1616169032359,line,7,9
user1616169032359,pie,46,50
user1616169032359,barAnim,28,33
user1616169032359,bar,26,40
user1616169032359,bar,33,40
user1616169032359,lineAnim,85,90
user1616169032359,line,63,95
user1616169032359,barAnim,88,90
