,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
194,3,user1616076694613,line,75,30.0,45.0,45.125,5.495855027,5.495855027
196,5,user1616076694613,line,75,75.0,0.0,0.125,-3.0,0.0
197,6,user1616076694613,line,40,30.0,10.0,10.125,3.339850003,3.339850003
208,17,user1616076694613,line,42,45.0,3.0,3.125,1.64385619,1.64385619
217,2,user1616080404053,line,64,25.0,39.0,39.125,5.290018847,5.290018847
218,3,user1616080404053,line,76,15.0,61.0,61.125,5.933690655,5.933690655
221,6,user1616080404053,line,24,45.0,21.0,21.125,4.400879436,4.400879436
234,19,user1616080404053,line,85,15.0,70.0,70.125,6.131856961,6.131856961
242,3,user1616085312200,line,75,70.0,5.0,5.125,2.357552005,2.357552005
247,8,user1616085312200,line,60,70.0,10.0,10.125,3.339850003,3.339850003
252,13,user1616085312200,line,91,98.0,7.0,7.125,2.832890014,2.832890014
263,24,user1616085312200,line,35,40.0,5.0,5.125,2.357552005,2.357552005
265,2,user1616086256978,line,78,80.0,2.0,2.125,1.087462841,1.087462841
266,3,user1616086256978,line,25,25.0,0.0,0.125,-3.0,0.0
279,16,user1616086256978,line,36,33.0,3.0,3.125,1.64385619,1.64385619
286,23,user1616086256978,line,85,82.0,3.0,3.125,1.64385619,1.64385619
288,1,user1616090223946,line,76,25.0,51.0,51.125,5.675957033,5.675957033
289,2,user1616090223946,line,18,6.0,12.0,12.125,3.599912842,3.599912842
307,20,user1616090223946,line,48,40.0,8.0,8.125,3.022367813,3.022367813
308,21,user1616090223946,line,65,80.0,15.0,15.125,3.918863237,3.918863237
318,7,user1616090648175,line,62,70.0,8.0,8.125,3.022367813,3.022367813
327,16,user1616090648175,line,31,15.0,16.0,16.125,4.011227255,4.011227255
329,18,user1616090648175,line,51,35.0,16.0,16.125,4.011227255,4.011227255
334,23,user1616090648175,line,75,93.0,18.0,18.125,4.17990909,4.17990909
340,5,user1616091192811,line,52,35.0,17.0,17.125,4.098032083,4.098032083
341,6,user1616091192811,line,16,7.0,9.0,9.125,3.189824559,3.189824559
345,10,user1616091192811,line,61,35.0,26.0,26.125,4.707359132,4.707359132
350,15,user1616091192811,line,30,20.0,10.0,10.125,3.339850003,3.339850003
362,3,user1616096193330,line,54,50.0,4.0,4.125,2.044394119,2.044394119
367,8,user1616096193330,line,18,10.0,8.0,8.125,3.022367813,3.022367813
373,14,user1616096193330,line,90,10.0,80.0,80.125,6.324180547,6.324180547
379,20,user1616096193330,line,87,80.0,7.0,7.125,2.832890014,2.832890014
386,3,user1616097035301,line,34,40.0,6.0,6.125,2.614709844,2.614709844
388,5,user1616097035301,line,40,30.0,10.0,10.125,3.339850003,3.339850003
394,11,user1616097035301,line,92,90.0,2.0,2.125,1.087462841,1.087462841
396,13,user1616097035301,line,20,25.0,5.0,5.125,2.357552005,2.357552005
408,1,user1616098486672,line,20,20.0,0.0,0.125,-3.0,0.0
417,10,user1616098486672,line,80,85.0,5.0,5.125,2.357552005,2.357552005
420,13,user1616098486672,line,91,95.0,4.0,4.125,2.044394119,2.044394119
429,22,user1616098486672,line,79,80.0,1.0,1.125,0.1699250014,0.1699250014
435,4,user1616098952363,line,79,85.0,6.0,6.125,2.614709844,2.614709844
442,11,user1616098952363,line,59,66.0,7.0,7.125,2.832890014,2.832890014
444,13,user1616098952363,line,92,95.0,3.0,3.125,1.64385619,1.64385619
447,16,user1616098952363,line,95,97.0,2.0,2.125,1.087462841,1.087462841
456,1,user1616108555075,line,36,34.0,2.0,2.125,1.087462841,1.087462841
457,2,user1616108555075,line,90,94.0,4.0,4.125,2.044394119,2.044394119
459,4,user1616108555075,line,13,10.0,3.0,3.125,1.64385619,1.64385619
473,18,user1616108555075,line,77,85.0,8.0,8.125,3.022367813,3.022367813
483,4,user1616169032359,line,67,55.0,12.0,12.125,3.599912842,3.599912842
491,12,user1616169032359,line,7,9.0,2.0,2.125,1.087462841,1.087462841
497,18,user1616169032359,line,63,95.0,32.0,32.125,5.005624549,5.005624549
501,22,user1616169032359,line,36,35.0,1.0,1.125,0.1699250014,0.1699250014
504,1,user1616169203397,line,6,25.0,19.0,19.125,4.257387843,4.257387843
516,13,user1616169203397,line,75,10.0,65.0,65.125,6.025139562,6.025139562
519,16,user1616169203397,line,81,20.0,61.0,61.125,5.933690655,5.933690655
527,24,user1616169203397,line,36,45.0,9.0,9.125,3.189824559,3.189824559
530,3,user1616169200343,line,45,30.0,15.0,15.125,3.918863237,3.918863237
542,15,user1616169200343,line,39,40.0,1.0,1.125,0.1699250014,0.1699250014
543,16,user1616169200343,line,32,15.0,17.0,17.125,4.098032083,4.098032083
549,22,user1616169200343,line,27,20.0,7.0,7.125,2.832890014,2.832890014
552,1,user1616169581711,line,11,20.0,9.0,9.125,3.189824559,3.189824559
555,4,user1616169581711,line,20,14.0,6.0,6.125,2.614709844,2.614709844
556,5,user1616169581711,line,12,14.0,2.0,2.125,1.087462841,1.087462841
558,7,user1616169581711,line,43,57.0,14.0,14.125,3.820178962,3.820178962
586,11,user1616169803384,line,86,95.0,9.0,9.125,3.189824559,3.189824559
592,17,user1616169803384,line,53,60.0,7.0,7.125,2.832890014,2.832890014
594,19,user1616169803384,line,30,25.0,5.0,5.125,2.357552005,2.357552005
599,24,user1616169803384,line,92,95.0,3.0,3.125,1.64385619,1.64385619
602,3,user1616171055505,line,60,60.0,0.0,0.125,-3.0,0.0
620,21,user1616171055505,line,68,70.0,2.0,2.125,1.087462841,1.087462841
621,22,user1616171055505,line,75,80.0,5.0,5.125,2.357552005,2.357552005
623,24,user1616171055505,line,71,75.0,4.0,4.125,2.044394119,2.044394119
638,15,user1616171484029,line,27,28.0,1.0,1.125,0.1699250014,0.1699250014
642,19,user1616171484029,line,16,13.0,3.0,3.125,1.64385619,1.64385619
643,20,user1616171484029,line,44,40.0,4.0,4.125,2.044394119,2.044394119
647,24,user1616171484029,line,85,90.0,5.0,5.125,2.357552005,2.357552005
650,3,user1616171638795,line,53,70.0,17.0,17.125,4.098032083,4.098032083
657,10,user1616171638795,line,10,8.0,2.0,2.125,1.087462841,1.087462841
658,11,user1616171638795,line,40,50.0,10.0,10.125,3.339850003,3.339850003
661,14,user1616171638795,line,12,10.0,2.0,2.125,1.087462841,1.087462841
681,10,user1616173020218,line,38,43.0,5.0,5.125,2.357552005,2.357552005
688,17,user1616173020218,line,28,27.0,1.0,1.125,0.1699250014,0.1699250014
692,21,user1616173020218,line,74,76.0,2.0,2.125,1.087462841,1.087462841
695,24,user1616173020218,line,76,78.0,2.0,2.125,1.087462841,1.087462841
697,2,user1616173095007,line,58,60.0,2.0,2.125,1.087462841,1.087462841
701,6,user1616173095007,line,69,66.0,3.0,3.125,1.64385619,1.64385619
702,7,user1616173095007,line,20,16.0,4.0,4.125,2.044394119,2.044394119
