_id,reportedPercent,truePercent,visType
605355ffc4e37914bcf86a43,33,0.237079847,Type6
60535604c4e37914bcf86a44,18,0.10222925,Type7
60535608c4e37914bcf86a45,67,0.621552738,Type7
6053560dc4e37914bcf86a46,25,0.202696105,Type6
6053561bc4e37914bcf86a47,15,0.10222925,Type6
60535622c4e37914bcf86a48,20,0.133586193,Type6
60535628c4e37914bcf86a49,16,0.127959717,Type6
60535634c4e37914bcf86a4a,18,0.118698571,Type7
6053563dc4e37914bcf86a4b,18,0.127959717,Type7
60535647c4e37914bcf86a4c,30,0.294667308,Type6
6053564ec4e37914bcf86a4d,15,0.118698571,Type6
60535655c4e37914bcf86a4e,38,0.294667308,Type7
6053565cc4e37914bcf86a4f,27,0.202696105,Type7
60535661c4e37914bcf86a50,25,0.207012055,Type6
605360fcc4e37914bcf86a6c,75,0.825404185,Type2
6053610ec4e37914bcf86a6d,50,0.681292069,Type3
6053611cc4e37914bcf86a6e,25,0.316227766,Type2
60536126c4e37914bcf86a6f,75,0.681292069,Type5
60536138c4e37914bcf86a70,50,0.825404185,Type5
60536140c4e37914bcf86a71,50,0.562341325,Type1
6053614cc4e37914bcf86a72,50,0.681292069,Type4
60536154c4e37914bcf86a73,25,0.316227766,Type4
6053615ec4e37914bcf86a74,75,0.681292069,Type2
6053616bc4e37914bcf86a75,75,0.681292069,Type1
60536172c4e37914bcf86a76,50,0.562341325,Type2
6053617cc4e37914bcf86a77,50,0.562341325,Type4
60536188c4e37914bcf86a78,25,0.383118685,Type5
60536194c4e37914bcf86a79,20,0.261015722,Type2
6053619ec4e37914bcf86a7a,50,0.464158883,Type4
605361a4c4e37914bcf86a7b,50,0.562341325,Type3
605361b9c4e37914bcf86a7c,60,0.464158883,Type1
605361bfc4e37914bcf86a7d,50,0.562341325,Type4
605361c8c4e37914bcf86a7e,25,0.316227766,Type5
605361dac4e37914bcf86a7f,50,0.464158883,Type2
6053620bc4e37914bcf86a80,30,0.316227766,Type3
60536213c4e37914bcf86a81,50,0.562341325,Type3
6053621bc4e37914bcf86a82,50,0.562341325,Type2
60536223c4e37914bcf86a83,50,0.464158883,Type5
6053624dc4e37914bcf86a84,25,0.562341325,Type5
60536264c4e37914bcf86a85,20,0.261015722,Type5
60536270c4e37914bcf86a86,80,0.825404185,Type1
