_id,reportedPercent,truePercent,visType
605359f6c4e37914bcf86a63,30,0.38311868495572876,Type8
605359fdc4e37914bcf86a64,83,0.8254041852680184,Type9
60535a01c4e37914bcf86a65,30,0.316227766016838,Type8
60535a48c4e37914bcf86a66,45,0.46415888336127786,Type8
60535a51c4e37914bcf86a67,70,0.6812920690579612,Type9
60535bb7c4e37914bcf86a68,80,0.8254041852680185,Type8
60535bbcc4e37914bcf86a69,45,0.46415888336127786,Type10
60535bc7c4e37914bcf86a6a,60,0.562341325190349,Type9
60535bcec4e37914bcf86a6b,85,0.8254041852680183,Type8
605365d6c4e37914bcf86aac,50,0.38311868495572876,Type9
60536606c4e37914bcf86aad,60,0.2610157215682537,Type10
6053662ec4e37914bcf86ab0,60,0.5623413251903491,Type9
6053663bc4e37914bcf86ab3,50,0.5623413251903492,Type10
60536645c4e37914bcf86ab5,50,0.6812920690579612,Type8
6053666cc4e37914bcf86ab7,60,0.38311868495572876,Type8
60536671c4e37914bcf86ab8,60,0.21544346900318834,Type10
60536678c4e37914bcf86ab9,60,0.21544346900318834,Type8
6053667fc4e37914bcf86aba,50,0.21544346900318834,Type9
60536686c4e37914bcf86abb,50,0.6812920690579612,Type9
6053668bc4e37914bcf86abc,50,0.46415888336127786,Type9
60536690c4e37914bcf86abd,50,0.8254041852680185,Type9
60536694c4e37914bcf86abe,50,0.6812920690579612,Type8
6053669cc4e37914bcf86abf,60,0.17782794100389226,Type8
605366a0c4e37914bcf86ac0,50,0.5623413251903492,Type8
605366a5c4e37914bcf86ac1,50,0.38311868495572876,Type9
605366aec4e37914bcf86ac2,50,0.5623413251903491,Type10
605366b3c4e37914bcf86ac3,50,0.8254041852680183,Type10
605366b7c4e37914bcf86ac4,50,0.8254041852680183,Type9
605366c3c4e37914bcf86ac5,50,0.8254041852680184,Type8
605366cec4e37914bcf86ac6,50,0.6812920690579612,Type10
605366d4c4e37914bcf86ac7,60,0.46415888336127786,Type9
605366dac4e37914bcf86ac8,50,0.17782794100389226,Type10
605366dfc4e37914bcf86ac9,50,0.46415888336127786,Type9
605366e6c4e37914bcf86aca,50,0.6812920690579614,Type10
605366ebc4e37914bcf86acb,50,0.6812920690579612,Type10
605366f0c4e37914bcf86acc,50,0.5623413251903492,Type8
605366f5c4e37914bcf86acd,50,0.38311868495572876,Type10
605366fac4e37914bcf86ace,50,0.5623413251903491,Type10
605366fec4e37914bcf86acf,50,0.46415888336127786,Type9
60536703c4e37914bcf86ad0,50,0.6812920690579612,Type9
60536708c4e37914bcf86ad1,50,0.46415888336127786,Type10
6053671bc4e37914bcf86ad2,60,0.3162277660168379,Type9
60536720c4e37914bcf86ad3,50,0.6812920690579612,Type8
60536726c4e37914bcf86ad4,40,0.26101572156825364,Type8
6053672bc4e37914bcf86ad5,50,0.8254041852680185,Type8
60536732c4e37914bcf86ad6,50,0.8254041852680185,Type10
